type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2020,5,30654,30654.0,76635.0,6130.8,1.04,26.04
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2021,4,33918,33918.0,84795.0,8479.5,1.1,27.45
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2022,3,36184,36184.0,90460.0,12061.33,1.06,26.46
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2023,2,33483,33483.0,83707.5,16741.5,0.75,18.67
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2024,1,18039,18039.0,45097.5,18039.0,0.0,0.0
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2015,10,44545,44545.0,111362.5,4454.5,1.57,39.35
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2016,9,48126,48126.0,120315.0,5347.33,1.71,42.65
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2017,8,50912,50912.0,127280.0,6364.0,1.8,45.11
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2018,7,51080,51080.0,127700.0,7297.14,1.8,45.04
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2019,6,55369,55369.0,138422.5,9228.17,1.93,48.22
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2020,5,56680,56680.0,141700.0,11336.0,1.93,48.15
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2021,4,58574,58574.0,146435.0,14643.5,1.9,47.41
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2022,3,72076,72076.0,180190.0,24025.33,2.11,52.7
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2023,2,75755,75755.0,189387.5,37877.5,1.69,42.23
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2024,1,80839,80839.0,202097.5,80839.0,0.0,0.0
РСД Панчево ,44.884727,20.784216,2016,9,34093,34093.0,85232.5,3788.11,1.21,30.21
РСД Панчево ,44.884727,20.784216,2017,8,25815,25815.0,64537.5,3226.88,0.91,22.87
РСД Панчево ,44.884727,20.784216,2018,7,25358,25358.0,63395.0,3622.57,0.89,22.36
РСД Панчево ,44.884727,20.784216,2019,6,28562,28562.0,71405.0,4760.33,0.99,24.87
РСД Панчево ,44.884727,20.784216,2020,5,76225,76225.0,190562.5,15245.0,2.59,64.75
РСД Панчево ,44.884727,20.784216,2021,4,41817,41817.0,104542.5,10454.25,1.35,33.84
РСД Панчево ,44.884727,20.784216,2022,3,42689,42689.0,106722.5,14229.67,1.25,31.22
РСД Панчево ,44.884727,20.784216,2023,2,30420,30420.0,76050.0,15210.0,0.68,16.96
