type,lat,lon,start_year,total_mass_ton
Nesanitarne deponije,45.090889,20.979096,2000,37500.0
Nesanitarne deponije,44.729943,21.193231,1985,123907.2
Nesanitarne deponije,44.643901,21.179896,1989,1232404.98
Nesanitarne deponije,44.2700821,20.6796526,1970,440000.0
Nesanitarne deponije,45.2363348,21.1289255,1980,87750.0
Nesanitarne deponije,42.48678,22.48848,1974,178500.0
Nesanitarne deponije,43.9368,20.7338,1981,264.0
Nesanitarne deponije,43.858029,19.872087,1973,163800.0
Nesanitarne deponije,43.2965,19.9378,2008,25500.0
Nesanitarne deponije,42.714218,22.140422,1981,318780.0
Nesanitarne deponije,42.4572,21.79063,2015,35000.0
Nesanitarne deponije,42.456956,21.785286,1993,0.0
Nesanitarne deponije,44.269656,19.9249978,1990,1330000.0
Nesanitarne deponije,43.678714,20.86053,2015,200000.0
Nesanitarne deponije,44.62,20.2,1985,2800000.0
Nesanitarne deponije,45.2926441,21.2926441,1966,2360000.0
Nesanitarne deponije,43.4576345,22.2032516,1987,152570.0
Nesanitarne deponije,44.2344272,20.3964209,1987,27200.0
Nesanitarne deponije,43.2884718,21.8854718,1968,5860683.0
Nesanitarne deponije,44.4022255,19.3312337,1980,43956.0
Nesanitarne deponije,44.7862355,20.5955171,1977,85145359.74
Nesanitarne deponije,43.5234,21.0821,1983,63000.0
Nesanitarne deponije,45.222989,20.7940327,2011,142800.0
Nesanitarne deponije,44.818424,20.081981,2010,105000.0
Nesanitarne deponije,45.8621904,19.1159462,1991,1122000.0
Nesanitarne deponije,44.06742,22.13158,1990,545370.0
Nesanitarne deponije,43.0,22.0,1980,4500.0
Nesanitarne deponije,44.0,21.0,1970,550000.0
Nesanitarne deponije,43.807785,21.872181,1994,96906.0
Nesanitarne deponije,46.075846,20.1027,1984,190117.0
Nesanitarne deponije,43.8781763,21.3475269,1975,1060000.0
Nesanitarne deponije,43.109,22.56,2010,30000.0
Nesanitarne deponije,43.182,22.569,1990,0.0
Nesanitarne deponije,45.2017398,19.7038667,1970,330000.0
Nesanitarne deponije,45.090889,20.979096,2000,85000.0
Nesanitarne deponije,45.044369,20.860375,2000,48725.0
Nesanitarne deponije,45.060005,21.018658,2000,59525.0
Nesanitarne deponije,43.45,21.02,1970,265595.0
Nesanitarne deponije,45.787467,19.618383,1987,117800.0
Nesanitarne deponije,45.615375,19.736438,2006,399000.0
Nesanitarne deponije,45.222989,20.7940327,2011,147000.0
Nesanitarne deponije,45.3631842,19.6180128,1985,47360.0
Nesanitarne deponije,44.8665327,20.977646,2010,16950.0
Nesanitarne deponije,44.8511724,21.0400591,1950,73500.0
Nesanitarne deponije,44.7467258,20.9630099,1980,548100.0
Nesanitarne deponije,44.7701096,20.9094028,1950,121500.0
Nesanitarne deponije,44.7147421,20.8746521,2003,20900.0
Nesanitarne deponije,44.8301833,20.8673946,1950,138750.0
Nesanitarne deponije,44.8023496,21.2041897,1950,67500.0
Nesanitarne deponije,44.7849088,21.071952,1950,75000.0
Nesanitarne deponije,45.895785,20.103254,2002,25767.0
Nesanitarne deponije,45.22377,20.0215,1989,99936.0
Nesanitarne deponije,45.18149,20.04076,1990,37660.0
Nesanitarne deponije,45.29047,20.02215,1988,67081.0
Nesanitarne deponije,45.016111,19.846553,1984,738000.0
Nesanitarne deponije,45.12371,20.171451,1989,112320.0
Nesanitarne deponije,45.2,20.1,2019,9984.0
Nesanitarne deponije,45.7958676,20.1013361,1985,320000.0
Nesanitarne deponije,45.362196,19.311885,1987,77102.0
Nesanitarne deponije,45.73294,19.372397,1990,109375.0
Nesanitarne deponije,45.4124,19.2526,1976,147000.0
Nesanitarne deponije,45.3337,19.3256,1990,420000.0
Nesanitarne deponije,45.6043274,20.1837872,1951,703000.0
Nesanitarne deponije,42.676906,22.056099,1970,0.0
Nesanitarne deponije,44.904343,21.382778,1994,155217.0
Nesanitarne deponije,43.983624,19.939454,1981,3000.0
Nesanitarne deponije,45.2926441,21.2926441,1966,2360000.0
Nesanitarne deponije,46.075846,20.1027,1984,0.0
Nesanitarne deponije,43.9368,20.7338,1981,35904.0
Nesanitarne deponije,43.035496,20.425255,1999,780000.0
Nesanitarne deponije,43.65,21.82,1970,687500.0
Nesanitarne deponije,44.4752325,20.0887888,2004,240550.0
Nesanitarne deponije,42.3821709,22.0594989,1992,2970.0
Nesanitarne deponije,44.4770813,20.0894164,1965,849000.0
Nesanitarne deponije,46.079331,19.686445,1978,2115000.0
Nesanitarne deponije,44.45318,19.422962,1994,0.0
Nesanitarne deponije,44.4646783,21.679741,2002,51750.0
Nesanitarne deponije,43.126827,21.221966,2003,233178.0
Nesanitarne deponije,44.7457,21.5464,1992,216424.0
Nesanitarne deponije,45.375949,19.2052207,1990,169470.0
Nesanitarne deponije,43.7845,20.2703,1982,0.0
Nesanitarne deponije,44.1,21.3,1995,380.0
Nesanitarne deponije,45.8621904,19.1159462,1991,1428000.0
Nesanitarne deponije,45.127541,20.500531,2009,53600.0
Nesanitarne deponije,44.0,21.0,1980,328000.0
Nesanitarne deponije,42.4572,21.79063,2015,180.0
Nesanitarne deponije,44.7743084,19.4726886,1990,208000.0
Nesanitarne deponije,44.833814,19.4535269,1990,254080.0
Nesanitarne deponije,44.54,19.2,1965,1800000.0
Nesanitarne deponije,44.2700821,20.6796526,1970,495000.0
Nesanitarne deponije,43.0,21.0,1964,0.0
Nesanitarne deponije,45.382546,18.575417,1978,514650.0
Nesanitarne deponije,44.729943,21.193231,1985,0.0
Nesanitarne deponije,43.678714,20.86053,2015,300000.0
Nesanitarne deponije,44.643901,21.179896,1989,1264754.4000000001
Nesanitarne deponije,43.3062479,21.3246058,1977,715536.0
Nesanitarne deponije,44.404548,21.946732,2004,37800.0
Nesanitarne deponije,43.513472,21.071201,1983,63000.0
Nesanitarne deponije,45.479018,19.261676,1999,366600.0
Nesanitarne deponije,44.5931,21.2322,2006,70300.0
