type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,44.7457,21.5464,1992,33,312000.0,312000.0,780000.0,9454.55,8.61,215.27
Nesanitarne deponije,44.0,21.0,1970,55,550000.0,550000.0,1375000.0,10000.0,11.91,297.67
Nesanitarne deponije,43.807785,21.872181,1994,31,34844.0,34844.0,87110.0,1124.0,0.98,24.61
Nesanitarne deponije,45.2926441,21.2926441,1966,59,2177100.0,2177100.0,5442750.0,36900.0,45.26,1131.51
Nesanitarne deponije,45.3631842,19.6180128,1985,40,48000.0,48000.0,120000.0,1200.0,1.22,30.55
Nesanitarne deponije,45.6895345,19.6988385,1990,35,10080.0,10080.0,25200.0,288.0,0.27,6.79
Nesanitarne deponije,43.45,21.02,1970,55,251240.0,251240.0,628100.0,4568.0,5.44,135.97
Nesanitarne deponije,44.3825454,20.9979128,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.4197145,20.3699057,2011,14,392000.0,392000.0,980000.0,28000.0,13.45,336.33
Nesanitarne deponije,44.651648,20.951778,1971,54,810000.0,810000.0,2025000.0,15000.0,17.72,442.92
Nesanitarne deponije,44.818424,20.081981,2010,15,90000.0,90000.0,225000.0,6000.0,3.06,76.47
Nesanitarne deponije,44.239864,22.556559,1959,66,627000.0,627000.0,1567500.0,9500.0,12.18,304.4
Nesanitarne deponije,43.9368,20.7338,1981,44,220000.0,220000.0,550000.0,5000.0,5.36,133.88
Nesanitarne deponije,45.0,19.0,1974,51,765000.0,765000.0,1912500.0,15000.0,17.27,431.63
Nesanitarne deponije,45.0,19.0,1974,51,357000.0,357000.0,892500.0,7000.0,8.06,201.43
Nesanitarne deponije,45.6043274,20.1837872,1951,74,628260.0,628260.0,1570650.0,8490.0,11.33,283.28
Nesanitarne deponije,42.714218,22.140422,1981,44,2673.1,2673.1,6682.75,60.75,0.07,1.63
Nesanitarne deponije,43.7195108,21.3889789,1980,45,225000.0,225000.0,562500.0,5000.0,5.42,135.42
Nesanitarne deponije,44.2700821,20.6796526,1970,55,440000.0,440000.0,1100000.0,8000.0,9.53,238.13
Nesanitarne deponije,45.3540472,20.3644608,1986,39,1560000.0,1560000.0,3900000.0,40000.0,40.17,1004.16
Nesanitarne deponije,45.317541,19.834156,1963,62,14781721.94,14781721.94,36954304.85,238414.87,298.33,7458.25
Nesanitarne deponije,45.222989,20.7940327,2011,14,140000.0,140000.0,350000.0,10000.0,4.8,120.12
Nesanitarne deponije,43.0,19.0,1987,38,285000.0,285000.0,712500.0,7500.0,7.42,185.56
Nesanitarne deponije,45.2363348,21.1289255,1980,45,103500.0,103500.0,258750.0,2300.0,2.49,62.3
Nesanitarne deponije,44.7862355,20.5955171,1977,48,37800000.0,37800000.0,94500000.0,787500.0,880.83,22020.86
Nesanitarne deponije,43.976582,21.276852,1970,55,2000.0,2000.0,5000.0,36.36,0.04,1.08
Nesanitarne deponije,44.4770813,20.0894164,1965,60,509340.0,509340.0,1273350.0,8489.0,10.48,262.1
Nesanitarne deponije,45.317541,19.834156,1963,62,11160000.0,11160000.0,27900000.0,180000.0,225.23,5630.87
Nesanitarne deponije,43.807785,21.872181,1994,31,42657.55,42657.55,106643.88,1376.05,1.21,30.13
Nesanitarne deponije,44.0,21.0,1970,55,440000.0,440000.0,1100000.0,8000.0,9.53,238.13
Nesanitarne deponije,44.05,22.06,1990,35,561295.0,561295.0,1403237.5,16037.0,15.13,378.33
Nesanitarne deponije,45.362196,19.311885,1987,38,76000.0,76000.0,190000.0,2000.0,1.98,49.48
Nesanitarne deponije,45.362195,19.311885,1990,35,17500.0,17500.0,43750.0,500.0,0.47,11.8
Nesanitarne deponije,45.246702,19.499267,1984,41,2045449.0,2045449.0,5113622.5,49889.0,51.49,1287.15
