type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,45.4771,20.0629,2005,20,25.0,300.0,750.0,1.25,0.0,0.02,158.75,186.56,tile_block_158_186.jpg,10.93
Wild,45.461986,20.077753,2005,20,25.0,300.0,750.0,1.25,0.0,0.02,276.37,343.1,tile_block_161_188.jpg,10.93
Wild,45.461023,20.056917,2005,20,30.0,150.0,375.0,1.5,0.0,0.02,182.17,431.18,tile_block_161_185.jpg,7.73
Wild,45.476733,20.043463,2005,20,75.0,600.0,1500.0,3.75,0.0,0.06,175.1,209.43,tile_block_158_183.jpg,15.45
Wild,45.373415,20.081358,2005,20,15.0,120.0,300.0,0.75,0.0,0.01,445.83,458.15,tile_block_180_188.jpg,6.91
Wild,45.318871,20.07127,2005,20,150.0,750.0,1875.0,7.5,0.0,0.12,98.04,364.59,tile_block_192_187.jpg,17.27
Wild,45.333738,20.069832,2005,20,50.0,200.0,500.0,2.5,0.0,0.04,4.41,247.66,tile_block_189_187.jpg,8.92
Wild,45.380022,20.109811,2005,20,25.0,500.0,1250.0,1.25,0.0,0.02,121.86,261.18,tile_block_179_193.jpg,14.1
Wild,45.378521,20.103446,2005,20,25.0,500.0,1250.0,1.25,0.0,0.02,133.67,422.4,tile_block_179_192.jpg,14.1
Wild,45.373415,20.061799,2005,20,50.0,250.0,625.0,2.5,0.0,0.04,450.33,440.48,tile_block_180_185.jpg,9.97
Wild,44.6385842,21.5560054,2005,20,30.0,5000.0,12500.0,1.5,0.0,0.02,249.36,428.7,tile_block_340_415.jpg,44.6
Wild,44.5866182,21.527418,2005,20,20.0,4000.0,10000.0,1.0,0.0,0.02,67.43,72.14,tile_block_352_411.jpg,39.89
Wild,44.7085565,21.5505927,2005,20,30.0,7000.0,17500.0,1.5,0.0,0.02,279.56,339.02,tile_block_325_414.jpg,52.78
Wild,44.6478513,21.7650621,2005,20,8.0,400.0,1000.0,0.4,0.0,0.01,435.83,289.0,tile_block_338_447.jpg,12.62
Wild,44.6413381,21.9082921,2005,20,30.0,6000.0,15000.0,1.5,0.0,0.02,25.56,383.93,tile_block_339_470.jpg,48.86
Wild,44.6796123,21.5226333,2005,20,7.0,500.0,1250.0,0.35,0.0,0.01,133.42,496.78,tile_block_331_410.jpg,14.1
